anio,edad,sexo,cantidad_personas,condicion_asist_escolar
1980,21.0,v,109,Nunca asistió
1980,21.0,v,14190,No asiste pero asistió
1980,21.0,v,-,Ignorado
1980,22.0,m,5834,Asiste
1980,22.0,m,151,Nunca asistió
1980,22.0,m,17292,No asiste pero asistió
1980,22.0,m,-,Ignorado
1980,22.0,v,6580,Asiste
1980,22.0,v,129,Nunca asistió
1980,22.0,v,14949,No asiste pero asistió
1980,22.0,v,-,Ignorado
1980,23.0,m,5003,Asiste
1980,23.0,m,137,Nunca asistió
1980,23.0,m,18300,No asiste pero asistió
1980,23.0,m,-,Ignorado
1980,23.0,v,6055,Asiste
1980,23.0,v,135,Nunca asistió
1980,23.0,v,15999,No asiste pero asistió
1980,23.0,v,-,Ignorado
1980,24.0,m,4046,Asiste
1980,24.0,m,154,Nunca asistió
1980,24.0,m,18929,No asiste pero asistió
1980,24.0,m,-,Ignorado
1980,24.0,v,4996,Asiste
1980,24.0,v,145,Nunca asistió
1980,24.0,v,16580,No asiste pero asistió
1980,24.0,v,-,Ignorado
1991,3.0,m,10937,Asiste
1991,3.0,m,4674,Nunca asistió
1991,3.0,m,302,No asiste pero asistió
1991,3.0,m,2302,Ignorado
1991,3.0,v,11105,Asiste
1991,3.0,v,4767,Nunca asistió
1991,3.0,v,308,No asiste pero asistió
1991,3.0,v,2395,Ignorado
1991,4.0,m,16782,Asiste
1991,4.0,m,1341,Nunca asistió
1991,4.0,m,220,No asiste pero asistió
1991,4.0,m,342,Ignorado
1991,4.0,v,17152,Asiste
1991,4.0,v,1457,Nunca asistió
1991,4.0,v,212,No asiste pero asistió
1991,4.0,v,343,Ignorado
1991,5.0,m,17227,Asiste
1991,5.0,m,411,Nunca asistió
1991,5.0,m,159,No asiste pero asistió
1991,5.0,m,128,Ignorado
1991,5.0,v,17824,Asiste
1991,5.0,v,423,Nunca asistió
1991,5.0,v,146,No asiste pero asistió
1991,5.0,v,133,Ignorado
1991,6.0,m,17438,Asiste
1991,6.0,m,114,Nunca asistió
1991,6.0,m,140,No asiste pero asistió
1991,6.0,m,104,Ignorado
1991,6.0,v,17900,Asiste
1991,6.0,v,114,Nunca asistió
